"variables","logml","AIC","BIC"
"Ag",0.869493547237468,0.016364187038355,0.683146260649293
"D",0.0444888955919483,4.50892384427647e-05,0.00188231438356839
"S",0.0269729124492058,5.30221754143912e-05,0.00221348611947131
"Ch",0.0178845038397229,0.000246670336388641,0.0102976040008608
"H",0.0135975713479548,2.46546747259864e-07,1.02924445969146e-05
"W",0.00846028262738308,1.0102073165766e-05,0.000421725411217993
"Ag, H",0.00667907820907535,0.00222314808961166,0.00342883527806998
"Ag, W",0.00404763525354872,0.117760571538708,0.181626048190136
"Ag, D",0.00341969829446882,0.00828688629562894,0.0127811404955801
"Ag, S",0.00157419794404781,0.00531510504242278,0.00819766337710422
"Ag, Ch",0.00124545246880043,0.0367278428684992,0.0566465742445969
"D, H",0.000453455620845438,7.92605624950326e-06,1.22246203081375e-05
"H, W",0.000378758809648556,3.95495705678389e-05,6.09986187736203e-05
"S, H",0.000250825625053986,8.5751411099263e-06,1.32257254878956e-05
"D, Ch",0.000173565421539776,0.000919751895128241,0.00141856395434202
"Ch, H",0.000169562198887243,4.2180800733151e-05,6.50568526166822e-05
"Ch, W",0.000131780034637359,0.00345874769695937,0.00533454166939342
"S, D",0.000115409579184623,1.23494136244069e-05,1.9046911583043e-05
"D, W",0.000100151942796117,4.32760256137017e-05,6.67460543957036e-05
"S, Ch",0.000100109745274308,0.00110257727990642,0.00170054162914628
"S, W",8.64680399572894e-05,0.000133124323485494,0.000205322074075594
"Ag, H, W",7.37519044280564e-05,0.0325655217310784,0.00185564645981583
"Ag, D, H",2.77691897946947e-05,0.00113034545253859,6.44092717043855e-05
"Ag, S, H",1.19868945574929e-05,0.00072574130519038,4.13541442645885e-05
"Ag, D, W",1.16132766180785e-05,0.0208674097367764,0.00118906539632129
"Ag, Ch, H",9.52906321933673e-06,0.00511250565905297,0.000291320467866365
"Ag, Ch, W",7.71409305718305e-06,0.408885755534143,0.023299101761417
"Ag, S, D",6.88111256020373e-06,0.00112534025864576,6.41240660686656e-05
"Ag, S, W",6.29496198696302e-06,0.0224221707549234,0.00127765868842359
"Ag, D, Ch",3.98333760884338e-06,0.0120994088513576,0.000689447735132062
"Ch, H, W",3.8784209446799e-06,0.00345588356463068,0.000196922934482459
"D, H, W",2.44861710345107e-06,3.23382491854305e-05,1.84269603027174e-06
"S, H, W",2.18543209271909e-06,9.21500812553117e-05,5.25088998927264e-06
"Ag, S, Ch",2.01813782990646e-06,0.00912223584469665,0.000519802654801666
"D, Ch, H",1.61416667840462e-06,0.000134546026135301,7.66669298720282e-06
"S, D, H",1.1357127963725e-06,2.00306798492467e-06,1.14138690781316e-07
"S, Ch, H",9.33633587364789e-07,0.000155411146942645,8.85562795589478e-06
"D, Ch, W",5.78019683676394e-07,0.00204256977386089,0.000116389579171841
"S, Ch, W",4.43064542264323e-07,0.00521816871524139,0.000297341353322109
"S, D, Ch",4.33592494665691e-07,0.000199123105506375,1.13464199607099e-05
"S, D, W",3.2722914724854e-07,1.88203834620547e-05,1.07242187710474e-06
"Ag, D, H, W",1.82040855844255e-07,0.00498116372789886,1.04864135805803e-05
"Ag, Ch, H, W",1.31768839031734e-07,0.0950341449310648,0.000200067173548691
"Ag, S, H, W",1.00746407465279e-07,0.00546926230935755,1.15139653481732e-05
"Ag, S, D, H",5.44184052809043e-08,0.00015354075397398,3.23236082088091e-07
"Ag, D, Ch, H",3.16085352456542e-08,0.00169284466108435,3.56379958851076e-06
"Ag, S, D, W",2.48977828595178e-08,0.00306499391426268,6.4524668456298e-06
"Ag, D, Ch, W",1.84586361850354e-08,0.0594802554219197,0.000125218642129619
"Ag, S, Ch, H",1.56132616951647e-08,0.00128003346842347,2.69474385507414e-06
"D, Ch, H, W",1.43081934712125e-08,0.000962852590095758,2.02701035911069e-06
"S, Ch, H, W",1.05372400532911e-08,0.00214649425413211,4.51882887749685e-06
"Ag, S, Ch, W",1.04189092745626e-08,0.0656575236581364,0.000138223111177757
"Ag, S, D, Ch",8.24486672540224e-09,0.00164577407898756,3.46470595933254e-06
"S, D, H, W",8.17477273551329e-09,1.2472989299893e-05,2.62583065985682e-08
"S, D, Ch, H",3.85990902014242e-09,2.81683809935623e-05,5.93004585132278e-08
"S, D, Ch, W",1.72855072751634e-09,0.000709070990514468,1.49274588644432e-06
"Ag, S, D, H, W",3.88322597411858e-10,0.00074039133182392,5.75859397999259e-08
"Ag, D, Ch, H, W",3.28887727333309e-10,0.0130737195790429,1.01684392601577e-06
"Ag, S, Ch, H, W",1.67305630204166e-10,0.0141904073599591,1.10369734064008e-06
"Ag, S, D, Ch, H",6.46603272131801e-11,0.000230421332437864,1.79216427962287e-08
"S, D, Ch, H, W",4.17165289238482e-11,0.000302587482933142,2.35345604782494e-08
"Ag, S, D, Ch, W",4.10859772327536e-11,0.00895125302115947,6.96207931473976e-07
"Ag, S, D, Ch, H, W",6.7583837754135e-13,0.00198424507311673,5.70176629084425e-09
