"variables","logml","AIC","BIC"
"Ag",-81.5645786595439,146.741688486468,153.338323219564
"D",-84.5367366510117,152.635895392744,159.23253012584
"S",-85.0363969726536,152.473828765229,159.070463498325
"Ch",-85.4479837324218,150.936486220649,157.533120953745
"H",-85.7111596577789,157.844742654743,164.441377387839
"W",-86.2177780813096,154.131798328599,160.728433061695
"Ag, H",-86.3817336235988,148.737859466565,158.632811566209
"Ag, W",-86.9536184381123,144.768130207949,154.663082307593
"Ag, D",-87.1020828979582,147.422109415377,157.317061515021
"Ag, S",-87.8880245544882,147.866230941348,157.761183040993
"Ag, Ch",-88.1764680023552,145.933248587648,155.828200687292
"D, H",-89.2079417989088,154.374383403743,164.269335503387
"H, W",-89.3000692577025,152.766984159121,162.661936258765
"S, H",-89.6992401761051,154.295671546435,164.190623646079
"D, Ch",-90.089576132488,149.620435040855,159.515387140499
"Ch, H",-90.11038964332,152.702573836733,162.597525936378
"Ch, W",-90.3410626232763,148.295877130078,158.190829229723
"S, D",-90.4024123650089,153.930930413178,163.825882512822
"S, Ch",-90.5689116224757,149.439133295302,159.334085394946
"D, W",-90.651907024388,152.676940194626,162.57189229427
"S, W",-90.798735330132,151.553255540668,161.448207640312
"Ag, H, W",-90.9246671512693,146.053529603246,159.246799069438
"Ag, D, H",-91.9239658418303,149.414260420122,162.607529886314
"Ag, S, H",-92.7058861860939,149.857345372934,163.050614839126
"Ag, D, W",-92.7855179399013,146.498595117145,159.691864583337
"Ag, Ch, H",-92.9905708271152,147.905094088064,161.098363554256
"Ag, Ch, W",-93.2432661807206,143.523347925636,156.716617391828
"Ag, S, D",-93.325179955752,149.418698274281,162.611967740473
"Ag, S, W",-93.4007218111207,146.426733481127,159.620002947319
"Ch, H, W",-93.8285725228203,148.296705556753,161.489975022946
"Ag, D, Ch",-93.8786414800718,147.043627120188,160.23689658638
"D, H, W",-94.3489319256079,152.968288280378,166.16155774657
"S, H, W",-94.4715596704693,151.921120429432,165.114389895624
"Ag, S, Ch",-94.5260826016122,147.326068783888,160.51933825008
"D, Ch, H",-94.7641722984672,151.542632653066,164.735902119258
"S, D, H",-95.1065858584953,155.749858997662,168.943128463854
"S, Ch, H",-95.3054934600663,151.398464829311,164.591734295503
"D, Ch, W",-95.8283632298106,148.82257500816,162.015844474352
"S, Ch, W",-96.0082667148788,147.88463719683,161.077906663022
"S, D, Ch",-96.096309354403,151.150615741227,164.343885207419
"S, D, W",-96.3271787373238,153.509598486128,166.70286795232
"Ag, D, H, W",-96.9490589103574,147.931120172299,164.422707005039
"Ag, Ch, H, W",-97.3179019631183,144.982547468986,161.474134301726
"Ag, S, H, W",-97.5168326052456,147.837639970176,164.329226802916
"Ag, S, D, H",-98.1316632620019,151.410572965329,167.902159798069
"Ag, D, Ch, H",-98.7004583072528,149.010373371038,165.501960203779
"Ag, S, D, W",-98.9299848942073,148.41673813251,164.90832496525
"Ag, D, Ch, W",-99.2483129024782,145.451139300506,161.942726133246
"Ag, S, Ch, H",-99.3998269034101,149.289897491542,165.781484324282
"D, Ch, H, W",-99.458874230909,149.574638668867,166.066225501607
"Ag, S, Ch, W",-99.7859411456945,145.352331519594,161.843918352334
"S, Ch, H, W",-99.8075972336256,148.772947784513,165.264534617253
"S, D, H, W",-100.051783088027,153.920973545038,170.412560377778
"Ag, S, D, Ch",-100.070356153528,149.038572878067,165.530159710807
"S, D, Ch, H",-100.79903475975,153.1063388878,169.59792572054
"S, D, Ch, W",-101.556145785006,149.880583346135,166.372170178875
"Ag, S, D, H, W",-103.089615498084,149.837360122112,169.6272643214
"Ag, D, Ch, H, W",-103.367269924162,146.966179640127,166.756083839415
"Ag, S, Ch, H, W",-103.902662858179,146.88421751804,166.674121717328
"Ag, S, D, Ch, H",-104.895094542185,151.004629482078,170.794533681367
"S, D, Ch, H, W",-105.325706559848,150.73216855988,170.522072759169
"Ag, S, D, Ch, W",-105.374137038921,147.344990191486,167.134894390774
"Ag, S, D, Ch, H, W",-109.36996530834,148.851545190347,171.939766756183
