"variables","logml","AIC","BIC"
"Ag",0.869298318174754,0.0155587498945713,0.0149270283541952
"D",0.0445017433107016,0.0161837017540428,0.0155008118139862
"S",0.0270008417726815,0.0161665181291999,0.0154850351112456
"Ch",0.017890704611445,0.016003516541852,0.0153353794004537
"H",0.0137509148598227,0.0167359861977095,0.0160078775568481
"W",0.00828533374930423,0.0163423095763023,0.0156464335024839
"Ag, H",0.00703242355683984,0.0157704002125312,0.0154424310011784
"Ag, W",0.00396952554239598,0.0153494971595473,0.0150559896996324
"Ag, D",0.00342185265701851,0.0156308936675176,0.0153143466586035
"Ag, S",0.00155930539182084,0.0156779830517045,0.0153575805643336
"Ag, Ch",0.00116858897015614,0.0154730325069613,0.0151694104983251
"D, H",0.000416579989593009,0.016368030423263,0.0159911297926011
"H, W",0.000379916326942343,0.0161976008535494,0.0158346542710406
"S, H",0.00025487675581962,0.0163596847505764,0.0159834674280911
"D, Ch",0.000172508094745633,0.0158639780687292,0.0155283471005952
"Ch, H",0.000168954703200911,0.0161907715461658,0.0158283841182935
"Ch, W",0.000134149878429587,0.0157235376426497,0.0153994053391634
"S, D",0.000126167189590958,0.016321011922649,0.0159479609667985
"S, Ch",0.000106816100770796,0.0158447549798878,0.0155106979164923
"D, W",9.83087729173032e-05,0.0161880536584916,0.0158258887596999
"S, W",8.48839444213076e-05,0.016068911452404,0.0157165014106105
"Ag, H, W",7.48400479907819e-05,0.0154857856806372,0.0155022008530809
"Ag, D, H",2.75514303364516e-05,0.0158421177549241,0.0158293579729778
"Ag, S, H",1.2605511107645e-05,0.0158890972331757,0.0158724909714029
"Ag, D, W",1.16406391899175e-05,0.0155329751541186,0.0155455266532198
"Ag, Ch, H",9.48251396037384e-06,0.0156821036392902,0.0156824451324247
"Ag, Ch, W",7.36511094192871e-06,0.0152175151958431,0.0152558952143472
"Ag, S, D",6.78585526841912e-06,0.0158425882923947,0.015829789984842
"Ag, S, W",6.29212268011615e-06,0.0155253557977288,0.0155385311373181
"Ch, H, W",4.10188970464904e-06,0.0157236254791982,0.015720567340717
"Ag, D, Ch",3.90156913235837e-06,0.015590763889599,0.0155985838928749
"D, H, W",2.43778141202278e-06,0.0162189447573009,0.0161753319834388
"S, H, W",2.15644411792706e-06,0.0161079154863517,0.0160733933168715
"Ag, S, Ch",2.04201628004343e-06,0.0156207106569467,0.0156260787463071
"D, Ch, H",1.60937836453538e-06,0.016067785127274,0.0160365486608787
"S, D, H",1.14274634000051e-06,0.0165138695571357,0.0164461095952863
"S, Ch, H",9.36624179658692e-07,0.0160524992794977,0.0160225143532916
"D, Ch, W",5.55246602056447e-07,0.0157793824447615,0.0157717591631325
"S, Ch, W",4.6382571063168e-07,0.0156799346329388,0.0156804537150864
"S, D, Ch",4.24735328516449e-07,0.0160262202989784,0.0159983869839053
"S, D, W",3.3717323056941e-07,0.0162763388774961,0.0162280269172296
"Ag, D, H, W",1.81039757627346e-07,0.0156848631368775,0.0160060600507767
"Ag, Ch, H, W",1.25195136214439e-07,0.0153722314252625,0.0157190252937594
"Ag, S, H, W",1.02610777148764e-07,0.0156749516038979,0.0159969600319533
"Ag, S, D, H",5.54849776366524e-08,0.0160537830827709,0.0163447744009021
"Ag, D, Ch, H",3.1415998378108e-08,0.0157992943579252,0.0161111221302405
"Ag, S, D, W",2.49728860596227e-08,0.0157363523112571,0.0160533335105953
"Ag, D, Ch, W",1.81643824867953e-08,0.0154219153506995,0.0157646413107393
"Ag, S, Ch, H",1.56105765654476e-08,0.0158289317835625,0.0161383329695456
"D, Ch, H, W",1.47154997344143e-08,0.015859122364088,0.0161660516737696
"Ag, S, Ch, W",1.06103976127632e-08,0.0154114389443919,0.015755022668013
"S, Ch, H, W",1.03830881100476e-08,0.0157741205620024,0.0160880094576374
"S, D, H, W",8.13350935069049e-09,0.0163199562143311,0.0165891544087626
"Ag, S, D, Ch",7.98383936645048e-09,0.0158022842995126,0.01611386726813
"S, D, Ch, H",3.85257136799267e-09,0.0162335820079406,0.0165098521549516
"S, D, Ch, W",1.80693093106906e-09,0.0158915611125056,0.0161958344754627
"Ag, S, D, H, W",3.89909770163226e-10,0.0158869782339852,0.0165127081802277
"Ag, D, Ch, H, W",2.95379487434672e-10,0.0155825522764939,0.0162332073250943
"Ag, S, Ch, H, W",1.72926732582072e-10,0.0155738619842427,0.0162252285570037
"Ag, S, D, Ch, H",6.40994837261099e-11,0.0160107416458597,0.0166263383704331
"S, D, Ch, H, W",4.16717854561546e-11,0.0159818531180783,0.0165998151124134
"Ag, S, D, Ch, W",3.97016922592929e-11,0.0156227168588073,0.0162700834022697
"Ag, S, D, Ch, H, W",7.30201718385292e-13,0.0157824540996109,0.0167378233940137
