"variables","logml","AIC","BIC"
"Ag",-81.5646971852781,146.741688486468,153.338323219564
"D",-84.5373684770384,152.635895392744,159.23253012584
"S",-85.0377749780138,152.473828765229,159.070463498325
"Ch",-85.4486734671837,150.936486220649,157.533120953745
"H",-85.7227168983725,157.844742654743,164.441377387839
"W",-86.1972255172592,154.131798328599,160.728433061695
"Ag, H",-86.4336281124381,148.737859466565,158.632811566209
"Ag, W",-86.9344752752346,144.768130207949,154.663082307593
"Ag, D",-87.1030557686199,147.422109415377,157.317061515021
"Ag, S",-87.8788621971159,147.866230941348,157.761183040993
"Ag, Ch",-88.1131092051636,145.933248587648,155.828200687292
"D, H",-89.1234659712431,154.374383403743,164.269335503387
"H, W",-89.3034637604423,152.766984159121,162.661936258765
"S, H",-89.7156053999926,154.295671546435,164.190623646079
"D, Ch",-90.0838087790859,149.620435040855,159.515387140499
"Ch, H",-90.1071435621976,152.702573836733,162.597525936378
"Ch, W",-90.3592292484656,148.295877130078,158.190829229723
"S, D",-90.4918760176323,153.930930413178,163.825882512822
"D, W",-90.633674916007,152.676940194626,162.57189229427
"S, Ch",-90.6340963398234,149.439133295302,159.334085394946
"S, W",-90.7805885113929,151.553255540668,161.448207640312
"Ag, H, W",-90.9396565591537,146.053529603246,159.246799069438
"Ag, D, H",-91.9164362514606,149.414260420122,162.607529886314
"Ag, S, H",-92.7565494440123,149.857345372934,163.050614839126
"Ag, D, W",-92.788214397122,146.498595117145,159.691864583337
"Ag, Ch, H",-92.9860169620349,147.905094088064,161.098363554256
"Ag, Ch, W",-93.1973144536653,143.523347925636,156.716617391828
"Ag, S, D",-93.3115830285899,149.418698274281,162.611967740473
"Ag, S, W",-93.4006137479234,146.426733481127,159.620002947319
"Ag, D, Ch",-93.8582433137349,147.043627120188,160.23689658638
"Ch, H, W",-93.884935279015,148.296705556753,161.489975022946
"D, H, W",-94.3448399591684,152.968288280378,166.16155774657
"S, H, W",-94.4585498136919,151.921120429432,165.114389895624
"Ag, S, Ch",-94.5381881569435,147.326068783888,160.51933825008
"D, Ch, H",-94.7615445418908,151.542632653066,164.735902119258
"S, D, H",-95.1131029085536,155.749858997662,168.943128463854
"S, Ch, H",-95.3090345992671,151.398464829311,164.591734295503
"D, Ch, W",-95.7885107328797,148.82257500816,162.015844474352
"S, Ch, W",-96.0544032027439,147.88463719683,161.077906663022
"S, D, Ch",-96.0760135151504,151.150615741227,164.343885207419
"S, D, W",-96.3574579741816,153.509598486128,166.70286795232
"Ag, D, H, W",-96.9438875112306,147.931120172299,164.422707005039
"Ag, Ch, H, W",-97.2670694878232,144.982547468986,161.474134301726
"Ag, S, H, W",-97.5355121134975,147.837639970176,164.329226802916
"Ag, S, D, H",-98.1514162267657,151.410572965329,167.902159798069
"Ag, D, Ch, H",-98.6946914689434,149.010373371038,165.501960203779
"Ag, S, D, W",-98.9333398980559,148.41673813251,164.90832496525
"Ag, D, Ch, W",-99.2325863088974,145.451139300506,161.942726133246
"Ag, S, Ch, H",-99.3999979939935,149.289897491542,165.781484324282
"D, Ch, H, W",-99.4872863125796,149.574638668867,166.066225501607
"S, Ch, H, W",-99.7932030014788,148.772947784513,165.264534617253
"Ag, S, Ch, W",-99.804496301075,145.352331519594,161.843918352334
"Ag, S, D, Ch",-100.038527864188,149.038572878067,165.530159710807
"S, D, H, W",-100.047065739316,153.920973545038,170.412560377778
"S, D, Ch, H",-100.797475042488,153.1063388878,169.59792572054
"S, D, Ch, W",-101.600835328117,149.880583346135,166.372170178875
"Ag, S, D, H, W",-103.094037503958,149.837360122112,169.6272643214
"Ag, D, Ch, H, W",-103.260157496539,146.966179640127,166.756083839415
"Ag, S, Ch, H, W",-103.936051673989,146.88421751804,166.674121717328
"Ag, S, D, Ch, H",-104.886726101954,151.004629482078,170.794533681367
"S, D, Ch, H, W",-105.324976507419,150.73216855988,170.522072759169
"Ag, S, D, Ch, W",-105.340207058024,147.344990191486,167.134894390774
"Ag, S, D, Ch, H, W",-109.44767525276,148.851545190347,171.939766756183
